44 88 25 77 38 11 0 58 22 71 
63 16 64 44 14 69 87 83 32 1 
76 14 1 60 87 48 50 91 85 31 
55 82 93 71 88 9 59 80 60 48 
69 46 92 60 31 87 36 67 50 1 
88 29 28 94 65 0 6 3 88 91 
38 36 85 23 7 86 18 97 26 92 
74 41 15 30 24 65 4 77 67 77 
92 95 76 49 58 78 19 33 39 96 
76 96 65 91 100 68 32 28 41 24 
54 91 28 27 5 82 10 9 86 48 
52 25 4 39 84 16 64 88 70 60 
97 70 58 61 20 56 43 40 9 51 
59 17 16 16 16 43 35 62 81 71 
24 75 31 71 51 24 77 56 84 25 
94 99 5 1 36 70 51 15 28 2 
67 12 100 12 25 18 88 31 16 89 
75 68 64 9 70 89 8 87 45 61 
45 71 59 58 78 65 6 5 82 47 
35 63 75 97 62 5 71 67 25 56 
76 96 29 72 12 96 55 21 56 19 
50 96 12 30 78 81 53 40 30 87 
30 94 85 80 89 62 23 27 34 14 
44 52 9 63 49 82 98 92 45 84 
99 88 88 50 0 12 24 16 69 20 
54 47 65 51 19 55 7 55 86 24 
2 4 20 78 26 84 62 24 24 59 
48 69 11 3 80 80 86 85 32 14 
8 99 1 35 72 81 95 85 12 21 
92 55 87 5 73 54 95 67 20 36 
22 28 15 73 12 92 60 2 68 75 
22 49 80 87 12 91 48 92 73 11 
30 54 49 72 32 67 85 89 38 68 
17 23 38 20 2 85 51 23 12 27 
65 63 66 10 95 39 4 0 64 64 
15 69 73 72 79 17 89 85 24 41 
22 55 11 76 27 85 25 41 86 98 
33 63 32 83 91 66 30 40 34 30 
31 12 21 95 4 84 8 69 30 70 
37 1 99 100 87 39 65 58 43 23 
91 3 43 46 31 46 84 2 83 4 
26 60 62 100 59 60 97 70 22 32 
34 81 29 22 47 44 52 85 34 5 
65 5 43 100 44 38 89 43 25 82 
16 76 87 10 93 46 43 42 99 57 
83 25 59 99 6 49 4 65 10 52 
82 26 58 55 55 92 19 70 92 4 
96 15 53 44 33 100 9 19 82 8 
19 41 80 78 98 42 37 2 33 20 
20 9 88 0 37 39 32 98 21 84 
8 38 79 62 26 24 78 27 90 25 
96 74 70 21 84 4 34 10 23 77 
99 16 78 78 57 2 17 20 58 54 
24 51 41 91 18 27 32 11 44 8 
76 35 53 44 100 43 91 86 59 40 
23 90 78 14 3 76 55 15 19 4 
22 41 100 65 42 74 92 7 45 83 
6 83 87 71 25 28 1 34 75 61 
74 46 15 18 20 39 87 65 12 29 
10 48 37 96 17 21 86 63 92 48 
86 16 38 2 93 78 30 72 41 56 
70 7 94 81 95 31 44 68 10 88 
79 59 15 40 61 73 52 10 6 31 
58 41 3 37 51 1 40 39 89 23 
39 42 69 15 49 21 45 87 13 41 
71 59 14 54 5 77 93 85 81 35 
63 15 90 70 0 41 35 85 28 60 
25 22 45 83 55 88 40 80 82 49 
31 99 42 72 84 76 58 54 75 43 
72 54 6 17 76 21 99 27 52 57 
29 97 21 100 64 14 72 65 22 62 
67 61 88 52 84 66 86 5 50 93 
19 79 62 66 -1
